Signal Legend:

Key        Signal Name

0        = PC[4..0]
1        = reset
2        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|actual_outcome
3        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|flush
4        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|prediction
5        = BPU:bpu|ghr_E[4..0]
6        = REGISTER_FILE:REG_FILE|registers[8][0..31]

Data Table:

Signals-> 0  1 2 3 4 5      6                                 

sample

299       4  0 0 0 0 00000b 00000000011101111110011011010101b 
300       2  0 0 0 0 00000b 00000000011101111110011011010101b 
301       3  0 0 0 0 00000b 00000000011101111110011011010101b 
302       4  0 0 0 0 00000b 00000000011101111110011011010110b 
303       2  0 0 0 0 00000b 00000000011101111110011011010110b 
304       3  0 0 0 0 00000b 00000000011101111110011011010110b 
305       4  0 0 0 0 00000b 00000000011101111110011011010111b 
306       2  0 0 0 0 00000b 00000000011101111110011011010111b 
307       3  0 0 0 0 00000b 00000000011101111110011011010111b 
308       4  0 0 0 0 00000b 00000000011101111110011011011000b 
309       2  0 0 0 0 00000b 00000000011101111110011011011000b 
310       3  0 0 0 0 00000b 00000000011101111110011011011000b 
311       4  0 1 1 0 00000b 00000000011101111110011011011001b 
312       5  0 0 0 0 00000b 00000000011101111110011011011001b 
313       6  0 0 0 0 00000b 00000000011101111110011011011001b 
314       7  0 0 0 0 00001b 00000000011101111110011011011001b 
315       8  0 0 0 0 00001b 00000000011101111110011011011001b 
316       9  0 0 0 0 00001b 00000000011101111110011011011001b 
317       10 0 0 0 0 00001b 00000000011101111110011011011001b 
318       11 0 0 0 0 00001b 00000000011101111110011011011001b 
319       12 0 0 0 0 00001b 00000000011101111110011011011001b 
320       13 0 0 0 0 00001b 00000000011101111110011011011001b 
321       14 0 0 0 0 00001b 00000000011101111110011011011001b 
322       15 0 0 0 0 00001b 00000000011101111110011011011001b 
323       16 0 0 0 0 00001b 00000000011101111110011011011001b 
324       17 0 0 0 0 00001b 00000000011101111110011011011001b 
325       18 0 0 0 0 00001b 00000000011101111110011011011001b 
326       19 0 0 0 0 00001b 00000000011101111110011011011001b 
327       20 0 0 0 0 00001b 00000000011101111110011011011001b 
328       21 0 0 0 0 00001b 00000000011101111110011011011001b 
329       22 0 0 0 0 00001b 00000000011101111110011011011001b 
330       23 0 0 0 0 00001b 00000000011101111110011011011001b 
331       24 0 0 0 0 00001b 00000000011101111110011011011001b 
332       25 0 0 0 0 00001b 00000000011101111110011011011001b 
333       26 0 0 0 0 00001b 00000000011101111110011011011001b 
334       27 0 0 0 0 00001b 00000000011101111110011011011001b 
335       28 0 0 0 0 00001b 00000000011101111110011011011001b 
336       29 0 0 0 0 00001b 00000000011101111110011011011001b 
337       30 0 0 0 0 00001b 00000000011101111110011011011001b 
338       31 0 0 0 0 00001b 00000000011101111110011011011001b 
339       0  0 0 0 0 00001b 00000000011101111110011011011001b 
340       1  0 0 0 0 00001b 00000000011101111110011011011001b 
341       2  0 0 0 0 00001b 00000000011101111110011011011001b 
342       3  0 0 0 0 00001b 00000000011101111110011011011001b 
343       4  0 0 0 0 00001b 00000000011101111110011011011001b 
344       2  0 0 0 0 00001b 00000000011101111110011011011001b 
345       3  0 0 0 0 00001b 00000000011101111110011011011001b 
346       4  0 0 0 0 00010b 00000000011101111110011011011010b 
347       2  0 0 0 0 00010b 00000000011101111110011011011010b 
348       3  0 0 0 0 00010b 00000000011101111110011011011010b 
349       4  0 0 0 0 00100b 00000000011101111110011011011011b 
350       2  0 0 0 0 00100b 00000000011101111110011011011011b 
351       3  0 0 0 0 00100b 00000000011101111110011011011011b 
352       4  0 0 0 0 01000b 00000000011101111110011011011100b 
353       2  0 0 0 0 01000b 00000000011101111110011011011100b 
354       3  0 0 0 0 01000b 00000000011101111110011011011100b 
355       4  0 0 0 0 10000b 00000000011101111110011011011101b 
356       2  0 0 0 0 10000b 00000000011101111110011011011101b 
357       3  0 0 0 0 10000b 00000000011101111110011011011101b 
358       4  0 0 0 0 00000b 00000000011101111110011011011110b 
359       2  0 0 0 0 00000b 00000000011101111110011011011110b 
360       3  0 0 0 0 00000b 00000000011101111110011011011110b 
